,Deaths
3/20/2022,37215
3/21/2022,37254
3/22/2022,37289
3/23/2022,37331
3/24/2022,37406
3/25/2022,37449
3/26/2022,37476
3/27/2022,37485
3/28/2022,37508
3/29/2022,37542
3/30/2022,37601
3/31/2022,37653
4/1/2022,37713
4/2/2022,37737
4/3/2022,37744
4/4/2022,37757
4/5/2022,37791
4/6/2022,37834
4/7/2022,37875
4/8/2022,37875
4/9/2022,37947
4/10/2022,37947
4/11/2022,37947
4/12/2022,37947
4/13/2022,38208
4/14/2022,38336
4/15/2022,38316
4/16/2022,38392
4/17/2022,38413
4/18/2022,38445
4/19/2022,38474
4/20/2022,38576
4/21/2022,38696
4/22/2022,38801
4/23/2022,38853
4/24/2022,38878
